timestamp_sec,lat,lon,alt_msl,speed_mps,heading_deg
0.00,18.520400,73.856700,120.00,8.5,42.0
0.03,18.520407,73.856705,120.08,8.5,42.0
0.07,18.520413,73.856710,120.16,8.5,42.0
0.10,18.520420,73.856715,120.24,8.5,42.0
0.13,18.520427,73.856720,120.31,8.5,42.0
0.17,18.520433,73.856725,120.39,8.5,42.0
0.20,18.520440,73.856730,120.47,8.5,42.0
0.23,18.520447,73.856735,120.55,8.5,42.0
0.27,18.520453,73.856740,120.62,8.5,42.0
0.30,18.520460,73.856745,120.70,8.5,42.0
0.33,18.520467,73.856750,120.78,8.5,42.0
0.37,18.520473,73.856755,120.85,8.5,42.0
0.40,18.520480,73.856760,120.93,8.5,42.0
0.43,18.520487,73.856765,121.00,8.5,42.0
0.47,18.520493,73.856770,121.08,8.5,42.0
0.50,18.520500,73.856775,121.15,8.5,42.0
0.53,18.520507,73.856780,121.22,8.5,42.0
0.57,18.520513,73.856785,121.29,8.5,42.0
0.60,18.520520,73.856790,121.36,8.5,42.0
0.63,18.520527,73.856795,121.43,8.5,42.0
0.67,18.520533,73.856800,121.50,8.5,42.0
0.70,18.520540,73.856805,121.57,8.5,42.0
0.73,18.520547,73.856810,121.63,8.5,42.0
0.77,18.520553,73.856815,121.70,8.5,42.0
0.80,18.520560,73.856820,121.76,8.5,42.0
0.83,18.520567,73.856825,121.83,8.5,42.0
0.87,18.520573,73.856830,121.89,8.5,42.0
0.90,18.520580,73.856835,121.95,8.5,42.0
0.93,18.520587,73.856840,122.01,8.5,42.0
0.97,18.520593,73.856845,122.07,8.5,42.0
1.00,18.520600,73.856850,122.12,8.5,42.0
1.03,18.520607,73.856855,122.18,8.5,42.0
1.07,18.520613,73.856860,122.23,8.5,42.0
1.10,18.520620,73.856865,122.28,8.5,42.0
1.13,18.520627,73.856870,122.33,8.5,42.0
1.17,18.520633,73.856875,122.38,8.5,42.0
1.20,18.520640,73.856880,122.43,8.5,42.0
1.23,18.520647,73.856885,122.47,8.5,42.0
1.27,18.520653,73.856890,122.52,8.5,42.0
1.30,18.520660,73.856895,122.56,8.5,42.0
1.33,18.520667,73.856900,122.60,8.5,42.0
